,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude,origin_descripcion,origin_temperatura,origin_minima,origin_maxima,origin_sensacion_termica,origin_nubes,destination_descripcion,destination_temperatura,destination_minima,destination_maxima,destination_sensacion_termica,destination_nubes
79,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
80,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
81,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
82,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
83,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
84,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
85,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
86,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
87,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
88,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
89,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
90,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
91,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
92,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
93,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
94,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
95,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
96,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
97,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
98,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
99,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
